cms_txn_sk,sales_cust_id,sales_tran_id,sales_order_id,sales_item_quantity,sales_order_dt,cms_store_sk,sales_store_id,sales_store_name,sales_channel,sales_region_name,cms_product_sk,sales_product_id,sales_product_name,sales_product_desc,sales_prd_style_id,sales_prd_style_name,sales_prd_style_desc,sales_prd_color_id,sales_prd_color_shade_name,sales_prd_size_id,sales_prd_size_name,sales_prd_fit,sales_prd_category_id,sales_prd_category_name,sales_prd_brand_id,sales_prd_brand_name,sales_csat,sales_sell_price,sales_discount_amt,promoter,detractor,passive,sales_launch_date,premium_prd,ship_mode,payment_preference,insert_dt,last_modified_dt,insert_by,last_modified_by,job_id,batch_id
23,PK-19075,txn017,CA-2015-105893,7,2020-07-11,255,Store_008,Store008,Delivery,Central,1404,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",null,2,Hip-Hop,null,4,Bright,1,Extra Large,Relaxed,CAT002,Office Supplies,null,Canany,9,665.88,129.9720981,1,0,0,2019-11-16,N,First Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
24,AG-10270,txn018,CA-2015-167164,1,2020-07-11,87,Store_009,Store009,Delivery,West,1291,OFF-ST-10000107,Fellowes Super Stor/Drawer,null,1,Hip-Hop,null,2,Other,3,Large,Regular,CAT002,Office Supplies,null,Beautify,9,55.5,13.51690667,1,0,0,2020-03-28,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
25,ZD-21925,txn019,CA-2015-143336,6,2020-07-11,181,Store_010,Store010,Delivery,West,566,OFF-AR-10003056,Newell 341,null,1,Party,null,2,Light,1,Large,Slim,CAT002,Office Supplies,null,Bostel,8,8.56,1.341991004,0,0,1,2019-10-12,N,First Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
26,ZD-21925,txn020,CA-2015-143336,7,2020-07-11,181,Store_010,Store010,Delivery,West,1742,TEC-PH-10001949,Cisco SPA 501G IP Phone,null,1,Party,null,4,Light,3,Xtra Small,Regular,CAT003,Technology,null,Bounce,9,213.48,3.62637927,1,0,0,2020-07-11,N,First Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
27,ZD-21925,txn021,CA-2015-143336,7,2020-07-11,181,Store_010,Store010,Delivery,West,729,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",null,3,Hip-Hop,null,5,Light,2,Medium,Relaxed,CAT002,Office Supplies,null,Trust Nom,9,22.72,3.762403301,1,0,0,2019-10-05,N,First Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
28,KB-16585,txn022,CA-2017-137330,9,2020-07-11,186,Store_011,Store011,Online,Central,476,OFF-AR-10000246,Newell 318,null,1,Hip-Hop,null,3,Other,1,Small,Regular,CAT002,Office Supplies,null,Trust Nom,9,19.46,1.505464636,1,0,0,2019-10-05,N,First Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
29,KB-16585,txn023,CA-2017-137330,9,2020-07-11,186,Store_011,Store011,Online,Central,408,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",null,4,Hip-Hop,null,3,Other,3,Medium,Slim,CAT002,Office Supplies,null,Renow,9,60.34,14.06175426,1,0,0,2019-11-02,N,Standard Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
30,SF-20065,txn024,US-2018-156909,5,2020-07-11,278,Store_012,Store012,Delivery,East,96,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",null,3,Party,null,4,Light,2,Small,Tapered,CAT001,Furniture,null,Bounce,8,71.372,7.730955491,0,0,1,2019-12-25,N,First Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
31,EB-13870,txn025,CA-2016-106320,7,2020-07-11,11,Store_013,Store013,Delivery,West,319,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,null,4,Casual,null,4,Bright,3,Large,Regular,CAT001,Furniture,null,Beautify,10,1044.63,65.38160437,1,0,0,2019-11-01,N,Standard Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
32,EH-13945,txn026,CA-2017-121755,5,2020-07-11,219,Store_014,Store014,Delivery,West,701,OFF-BI-10001634,Wilson Jones Active Use Binders,null,4,Hip-Hop,null,4,Bright,2,Large,Slim,CAT002,Office Supplies,null,Bounce,9,11.648,1.770756474,1,0,0,2020-02-15,N,Standard Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
33,EH-13945,txn027,CA-2017-121755,5,2020-07-11,219,Store_014,Store014,Delivery,West,1541,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,null,4,Hip-Hop,null,1,Bright,1,Large,Relaxed,CAT003,Technology,null,Respont,10,90.57,12.44088112,1,0,0,2020-02-29,N,Second Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
34,TB-21520,txn028,US-2016-150630,5,2020-07-11,278,Store_012,Store012,Delivery,East,49,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",null,1,Hip-Hop,null,4,Light,2,Xtra Small,Tapered,CAT001,Furniture,null,Beautify,10,3083.43,126.880553,1,0,0,2019-11-10,Y,Standard Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
35,TB-21520,txn029,US-2016-150630,2,2020-07-11,278,Store_012,Store012,Delivery,East,654,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,null,4,Casual,null,5,Bright,3,Small,Regular,CAT002,Office Supplies,null,Beautify,10,9.618,1.631514611,1,0,0,2019-10-05,N,First Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
36,TB-21520,txn030,US-2016-150630,10,2020-07-11,278,Store_012,Store012,Delivery,East,310,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",null,2,Hip-Hop,null,1,Light,1,Large,Regular,CAT001,Furniture,null,Bounce,9,124.2,15.97832113,1,0,0,2019-10-01,N,Standard Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
37,TB-21520,txn031,US-2016-150630,4,2020-07-11,278,Store_012,Store012,Delivery,East,859,OFF-EN-10001509,Poly String Tie Envelopes,null,3,Formal,null,2,Light,2,Small,Relaxed,CAT002,Office Supplies,null,Respont,9,3.264,0.052513596,1,0,0,2019-11-09,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
38,TB-21520,txn032,US-2016-150630,1,2020-07-11,278,Store_012,Store012,Delivery,East,609,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",null,3,Party,null,5,Bright,2,Small,Slim,CAT002,Office Supplies,null,Renow,8,86.304,19.65204883,0,0,1,2019-11-17,N,Standard Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
39,TB-21520,txn033,US-2016-150630,9,2020-07-11,278,Store_012,Store012,Delivery,East,694,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",null,2,Party,null,4,Dark,1,Xtra Small,Regular,CAT002,Office Supplies,null,Beautify,10,6.858,0.829814638,1,0,0,2019-10-07,N,Standard Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
40,TB-21520,txn034,US-2016-150630,3,2020-07-11,278,Store_012,Store012,Delivery,East,525,OFF-AR-10001683,Lumber Crayons,null,2,Casual,null,3,Bright,3,Extra Large,Relaxed,CAT002,Office Supplies,null,Bounce,9,15.76,2.454262387,1,0,0,2019-10-05,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
41,MA-17560,txn035,CA-2018-107727,10,2020-07-11,55,Store_015,Store015,Curbside,Central,1031,OFF-PA-10000249,Easy-staple paper,null,2,Casual,null,1,Other,1,Extra Large,Tapered,CAT002,Office Supplies,null,Bounce,8,29.472,2.980978387,0,0,1,2019-10-19,N,Standard Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
42,GH-14485,txn036,CA-2017-117590,7,2020-07-11,333,Store_016,Store016,Online,Central,1852,TEC-PH-10004977,GE 30524EE4,null,3,Casual,null,3,Other,1,Xtra Small,Slim,CAT003,Technology,null,Aerodyne,10,1097.544,99.77063749,1,0,0,2019-11-17,N,Standard Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
43,GH-14485,txn037,CA-2017-117590,2,2020-07-11,333,Store_016,Store016,Online,Central,265,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",null,2,Party,null,4,Bright,2,Small,Relaxed,CAT001,Furniture,null,Bounce,7,190.92,31.0481503,0,0,1,2019-11-20,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
44,SN-20710,txn038,CA-2016-117415,10,2020-07-11,290,Store_017,Store017,Curbside,Central,873,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",null,2,Hip-Hop,null,5,Other,1,Extra Large,Relaxed,CAT002,Office Supplies,null,Bounce,9,113.328,26.75245455,1,0,0,2020-06-13,N,First Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
45,SN-20710,txn039,CA-2016-117415,9,2020-07-11,290,Store_017,Store017,Curbside,Central,21,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",null,2,Formal,null,5,Light,2,Medium,Tapered,CAT001,Furniture,null,Murphy,9,532.3992,21.71015197,1,0,0,2019-12-01,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
46,SN-20710,txn040,CA-2016-117415,7,2020-07-11,290,Store_017,Store017,Curbside,Central,120,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",null,3,Party,null,3,Dark,3,Small,Tapered,CAT001,Furniture,null,Godsub,10,212.058,41.41319368,1,0,0,2019-11-09,N,Standard Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
47,SN-20710,txn041,CA-2016-117415,9,2020-07-11,290,Store_017,Store017,Curbside,Central,1689,TEC-PH-10000486,Plantronics HL10 Handset Lifter,null,2,Formal,null,3,Light,1,Small,Regular,CAT003,Technology,null,Beautify,8,371.168,90.33365045,0,0,1,2020-01-18,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
48,LC-16930,txn042,CA-2018-120999,4,2020-07-11,105,Store_018,Store018,Online,Central,1821,TEC-PH-10004093,Panasonic Kx-TS550,null,4,Party,null,4,Dark,2,Extra Large,Regular,CAT003,Technology,null,Trust Nom,10,147.168,28.97785079,1,0,0,2019-11-23,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
49,RA-19885,txn043,CA-2017-101343,6,2020-07-11,219,Store_014,Store014,Online,West,1390,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",null,1,Party,null,1,Other,2,Small,Tapered,CAT002,Office Supplies,null,Trust Nom,4,77.88,3.026574971,0,1,0,2019-11-03,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
50,ES-14080,txn044,CA-2018-139619,6,2020-07-11,283,Store_019,Store019,Online,South,1383,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",null,3,Party,null,4,Dark,1,Extra Large,Slim,CAT002,Office Supplies,null,Bounce,8,95.616,16.99775618,0,0,1,2019-12-19,N,Same Day,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
51,ON-18715,txn045,CA-2017-118255,4,2020-07-11,122,Store_020,Store020,Online,Central,1458,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",null,3,Party,null,5,Other,1,Small,Relaxed,CAT003,Technology,null,Respont,9,45.98,5.140113337,1,0,0,2019-12-14,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
52,ON-18715,txn046,CA-2017-118255,8,2020-07-11,122,Store_020,Store020,Online,Central,766,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,null,3,Casual,null,1,Dark,2,Extra Large,Tapered,CAT002,Office Supplies,null,Beautify,10,17.46,0.790664986,1,0,0,2019-10-05,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
53,PO-18865,txn047,CA-2015-146703,6,2020-07-11,294,Store_021,Store021,Delivery,Central,1348,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",null,2,Party,null,3,Bright,3,Medium,Tapered,CAT002,Office Supplies,null,Trust Nom,10,211.96,21.70077844,1,0,0,2019-10-05,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
54,LH-16900,txn048,CA-2017-169194,6,2020-07-11,39,Store_022,Store022,Delivery,East,1516,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,null,1,Formal,null,2,Light,2,Large,Regular,CAT003,Technology,null,Trust Nom,8,45.0,3.843347466,0,0,1,2019-10-25,N,Second Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
55,LH-16900,txn049,CA-2017-169194,4,2020-07-11,39,Store_022,Store022,Delivery,East,1816,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",null,3,Casual,null,3,Light,3,Extra Large,Tapered,CAT003,Technology,null,Murphy,7,21.8,4.47912661,0,0,1,2019-10-04,N,Standard Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
56,DP-13000,txn050,CA-2016-115742,4,2020-07-11,312,Store_023,Store023,Delivery,Central,821,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",null,3,Hip-Hop,null,1,Dark,1,Small,Regular,CAT002,Office Supplies,null,Redash,8,38.22,0.48395955,0,0,1,2020-03-23,N,Second Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
57,DP-13000,txn051,CA-2016-115742,7,2020-07-11,312,Store_023,Store023,Delivery,Central,978,OFF-LA-10002762,Avery 485,null,3,Party,null,5,Light,3,Large,Regular,CAT002,Office Supplies,null,Respont,8,75.18,3.610242209,0,0,1,2019-10-05,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
58,DP-13000,txn052,CA-2016-115742,3,2020-07-11,312,Store_023,Store023,Delivery,Central,192,FUR-FU-10001706,Longer-Life Soft White Bulbs,null,4,Hip-Hop,null,3,Dark,1,Large,Slim,CAT001,Furniture,null,Aerodyne,8,6.16,0.481091283,0,0,1,2019-12-22,N,Second Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
59,DP-13000,txn053,CA-2016-115742,7,2020-07-11,312,Store_023,Store023,Delivery,Central,100,FUR-CH-10003061,"Global Leather Task Chair, Black",null,3,Party,null,3,Light,3,Large,Regular,CAT001,Furniture,null,Beautify,9,89.99,3.498717816,1,0,0,2019-10-05,N,Standard Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
60,JM-15265,txn054,CA-2017-105816,8,2020-07-11,140,Store_024,Store024,Online,East,902,OFF-FA-10000304,Advantus Push Pins,null,1,Party,null,4,Other,3,Small,Regular,CAT002,Office Supplies,null,Trust Nom,9,15.26,3.60152168,1,0,0,2019-12-14,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
61,JM-15265,txn055,CA-2017-105816,10,2020-07-11,140,Store_024,Store024,Online,East,1762,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,null,4,Hip-Hop,null,5,Light,1,Extra Large,Relaxed,CAT003,Technology,null,Catwomen,9,1029.95,123.1351568,1,0,0,2019-11-16,N,Standard Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
62,TB-21055,txn056,CA-2017-111682,5,2020-07-11,171,Store_025,Store025,Delivery,East,1303,OFF-ST-10000604,Home/Office Personal File Carts,null,1,Formal,null,1,Bright,1,Small,Regular,CAT002,Office Supplies,null,Murphy,8,208.56,12.43867177,0,0,1,2019-10-25,N,Standard Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
63,TB-21055,txn057,CA-2017-111682,5,2020-07-11,171,Store_025,Store025,Delivery,East,1107,OFF-PA-10001569,Xerox 232,null,4,Hip-Hop,null,3,Other,2,Small,Tapered,CAT002,Office Supplies,null,Bounce,10,32.4,4.86442753,1,0,0,2019-11-09,N,First Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
